id,brand,model,version,year,mileage,category,priceBrutto,normalizedMainImage,visualCategory,status,identityGroup,provisionalRepresentativeId,groupMemberIds,proof
1,Mercedes-Benz,Classe C,200 d Avantgarde,2022,38500,cars,34500.00,https://images.unsplash.com/photo-1618843479313-40f8afb4b4d8,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,27,1,"1,30001",
2,Volkswagen,Golf 8,1.5 TSI Life,2024,15,cars,28900.00,https://images.unsplash.com/photo-1603584173870-7f23fdae1b7a,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,,,,
3,Volkswagen,Transporter T6.1,EcoPro Panel Van,2021,64000,cars,29800.00,https://images.unsplash.com/photo-1541899481282-d53bffe3c35d,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,30,3,"3,60043,60073,60103,60133",
4,Mercedes-Benz,Atego 1224,Box Truck + Tail Lift,2020,145000,cars,48000.00,https://images.unsplash.com/photo-1503376780353-7e6692767b70,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,,,,
5,John Deere,5075E,Utility Tractor,2022,1200,cars,42500.00,https://images.unsplash.com/photo-1583121274602-3e2820c69888,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,,,,
6,BMW,X5 xDrive30d,M Sport Package,2023,24000,cars,68900.00,https://images.unsplash.com/photo-1525609004556-c46c7d6cf023,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,,,,
7,Porsche,911 Carrera S,992 Coupe,2021,18500,cars,124900.00,https://images.unsplash.com/photo-1563720223185-11003d516935,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,,,,
8,Audi,Q4 e-tron,40 Advanced,2024,10,cars,46500.00,https://images.unsplash.com/photo-1542282088-72c9c27ed0cd,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,,,,
30001,Mercedes-Benz,Classe C,C 200 d Avantgarde Estate,2022,38500,cars,34500.00,https://images.unsplash.com/photo-1618843479313-40f8afb4b4d8,compatible/inconclusive,REDONDANCE FORTE,27,1,"1,30001",same normalized image + same declared brand/model
30002,BMW,Série 3,320d xDrive M Sport,2023,21000,cars,41900.00,https://images.unsplash.com/photo-1603584173870-7f23fdae1b7a,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,26,30002,"30002,60142,60152,60162,60172,60182,60192,60202,60212,60222,60232",
30003,Audi,A6 Avant,40 TDI S line Quattro,2022,45000,cars,39800.00,https://images.unsplash.com/photo-1541899481282-d53bffe3c35d,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,,,,
30004,Volkswagen,Golf 8,1.5 TSI Life,2024,10,cars,28900.00,https://images.unsplash.com/photo-1503376780353-7e6692767b70,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,,,,
30005,BMW,X5,xDrive30d M Sport,2023,24000,suvs,68900.00,https://images.unsplash.com/photo-1583121274602-3e2820c69888,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
30006,Mercedes-Benz,GLE,350 de 4MATIC Coupé,2022,39000,suvs,72500.00,https://images.unsplash.com/photo-1525609004556-c46c7d6cf023,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
30007,Audi,Q7,50 TDI Quattro S line,2021,52000,suvs,54900.00,https://images.unsplash.com/photo-1563720223185-11003d516935,unknown,CONFLIT CATEGORIE/PHOTO,,,,; declared heavy/van/agriculture category conflicts with road-car/SUV image
30008,Porsche,911 Carrera S,992 Coupe PDK,2021,18500,coupes,124900.00,https://images.unsplash.com/photo-1542282088-72c9c27ed0cd,compatible/inconclusive,AUCUN CANDIDAT AUTOMATIQUE,,,,
