statut,categorie,vehicle_id,marque,modele,version,annee,photo_candidate,niveau_confiance,base_de_proposition,commentaire
PROPOSITION_NON_APPLIQUEE,Voitures,30003,Audi,A6 Avant,40 TDI S line Quattro,2022,65478.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule Audi A6 Avant (2022,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,8,Audi,Q4 e-tron,40 Advanced,2024,65479.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule Audi Q4 e-tron (2024,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,30002,BMW,Série 3,320d xDrive M Sport,2023,65480.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW Série 3 (2023,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,60001,BMW,Série 3,Série 3 Edition 1,2019,65481.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW Série 3 (2019,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,60011,BMW,Série 3,Série 3 Edition 11,2022,65482.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW Série 3 (2022,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,60021,BMW,Série 3,Série 3 Edition 21,2018,65483.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW Série 3 (2018,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,60031,BMW,Série 3,Série 3 Edition 31,2021,65484.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW Série 3 (2021,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,60040,BMW,Série 3,Série 3 Edition 1,2019,65485.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW Série 3 (2019,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,60050,BMW,Série 3,Série 3 Edition 11,2022,65486.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW Série 3 (2022,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
PROPOSITION_NON_APPLIQUEE,Voitures,60060,BMW,Série 3,Série 3 Edition 21,2018,65487.jpg,Catégorie forte / modèle à confirmer,Type visuel classé suv) pour le véhicule BMW Série 3 (2018,Aucune écriture en base; photo libre et réservée à cette seule ligne dans la proposition.
