status,photo,photoNumber,sourceGroup,targetCategory,targetVehicleId,targetBrand,targetModel,targetVersion,targetYear,confidence,reason,unused
PROPOSITION_NON_APPLIQUEE,65322.jpg,65322,buses,buses,60137,MAN,Lion's Coach R08,Lion's Coach R08 Edition 98,2018,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65324.jpg,65324,buses,buses,60149,MAN,Lion's Coach R08,Lion's Coach R08 Export Line 8,2019,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65325.jpg,65325,buses,buses,60038,MAN,Lion's Coach R08,Lion's Coach R08 Edition 38,2021,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65326.jpg,65326,buses,buses,60077,MAN,Lion's Coach R08,Lion's Coach R08 Edition 38,2021,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65327.jpg,65327,buses,buses,60179,MAN,Lion's Coach R08,Lion's Coach R08 Export Line 38,2021,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65328.jpg,65328,buses,buses,60209,MAN,Lion's Coach R08,Lion's Coach R08 Export Line 68,2023,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65329.jpg,65329,buses,buses,60008,MAN,Travego 15 SHD,Travego 15 SHD Edition 8,2019,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65330.jpg,65330,buses,buses,60047,MAN,Travego 15 SHD,Travego 15 SHD Edition 8,2019,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65331.jpg,65331,buses,buses,60107,MAN,Travego 15 SHD,Travego 15 SHD Edition 68,2023,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65332.jpg,65332,buses,buses,60117,Mercedes-Benz,Lion's Coach R08,Lion's Coach R08 Edition 78,2019,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65333.jpg,65333,buses,buses,60018,Mercedes-Benz,Lion's Coach R08,Lion's Coach R08 Edition 18,2022,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65334.jpg,65334,buses,buses,60057,Mercedes-Benz,Lion's Coach R08,Lion's Coach R08 Edition 18,2022,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65335.jpg,65335,buses,buses,30017,Mercedes-Benz,Tourismo 15 RHD,Coach / Autocar de tourisme,2020,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65336.jpg,65336,buses,buses,60219,Mercedes-Benz,Travego 15 SHD,Travego 15 SHD Export Line 78,2019,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65337.jpg,65337,buses,buses,60159,Mercedes-Benz,Travego 15 SHD,Travego 15 SHD Export Line 18,2022,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65338.jpg,65338,buses,buses,60087,Mercedes-Benz,Travego 15 SHD,Travego 15 SHD Edition 48,2024,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65339.jpg,65339,buses,buses,60189,Mercedes-Benz,Travego 15 SHD,Travego 15 SHD Export Line 48,2024,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65340.jpg,65340,buses,buses,150019,Mercedes-Benz / Setra,Iveco Crossway,Iveco Crossway Line Euro VI - Édition 2008,2019,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65342.jpg,65342,buses,buses,150009,Mercedes-Benz / Setra,Iveco Crossway,Iveco Crossway Line Euro VI - Édition 2018,2021,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65343.jpg,65343,buses,buses,150029,Mercedes-Benz / Setra,Iveco Crossway,Iveco Crossway Line Euro VI - Édition 1998,2023,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65344.jpg,65344,buses,buses,150025,Mercedes-Benz / Setra,MAN Lion's,MAN Lion's Coach L Euro VI - Édition 2002,2019,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65345.jpg,65345,buses,buses,150015,Mercedes-Benz / Setra,MAN Lion's,MAN Lion's Coach L Euro VI - Édition 2012,2021,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65346.jpg,65346,buses,buses,150005,Mercedes-Benz / Setra,MAN Lion's,MAN Lion's Coach L Euro VI - Édition 2022,2023,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65347.jpg,65347,buses,buses,150035,Mercedes-Benz / Setra,MAN Lion's,MAN Lion's Coach L Euro VI - Édition 1992,2023,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65348.jpg,65348,buses,buses,150002,Mercedes-Benz / Setra,Mercedes-Benz Citaro,Mercedes-Benz Citaro K Hybrid Euro VI - Édition 2025,2020,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65349.jpg,65349,buses,buses,150032,Mercedes-Benz / Setra,Mercedes-Benz Citaro,Mercedes-Benz Citaro K Hybrid Euro VI - Édition 1995,2020,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65350.jpg,65350,buses,buses,150022,Mercedes-Benz / Setra,Mercedes-Benz Citaro,Mercedes-Benz Citaro K Hybrid Euro VI - Édition 2005,2022,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65351.jpg,65351,buses,buses,150012,Mercedes-Benz / Setra,Mercedes-Benz Citaro,Mercedes-Benz Citaro K Hybrid Euro VI - Édition 2015,2024,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65352.jpg,65352,buses,buses,150013,Mercedes-Benz / Setra,Mercedes-Benz Intouro,Mercedes-Benz Intouro M Euro VI - Édition 2014,2019,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65353.jpg,65353,buses,buses,150003,Mercedes-Benz / Setra,Mercedes-Benz Intouro,Mercedes-Benz Intouro M Euro VI - Édition 2024,2021,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65354.jpg,65354,buses,buses,150033,Mercedes-Benz / Setra,Mercedes-Benz Intouro,Mercedes-Benz Intouro M Euro VI - Édition 1994,2021,Forte pour le type bus; marque/modèle exact à confirmer,Photo d’autocar/bus de grande taille; la marque ou le modèle exact n’est pas toujours lisible.,
PROPOSITION_NON_APPLIQUEE,65355.jpg,65355,minibuses,minibuses,60029,Ford,Crafter Transfer,Crafter Transfer Edition 29,2019,Forte pour le type minibus; marque/modèle exact à confirmer,Photo de minibus/petit autobus; la cible reste dans la catégorie minibus.,
PROPOSITION_NON_APPLIQUEE,65356.jpg,65356,minibuses,minibuses,60068,Ford,Crafter Transfer,Crafter Transfer Edition 29,2019,Forte pour le type minibus; marque/modèle exact à confirmer,Photo de minibus/petit autobus; la cible reste dans la catégorie minibus.,
PROPOSITION_NON_APPLIQUEE,65357.jpg,65357,minibuses,minibuses,60170,Ford,Crafter Transfer,Crafter Transfer Export Line 29,2019,Forte pour le type minibus; marque/modèle exact à confirmer,Photo de minibus/petit autobus; la cible reste dans la catégorie minibus.,
PROPOSITION_NON_APPLIQUEE,65358.jpg,65358,minibuses,minibuses,60200,Ford,Crafter Transfer,Crafter Transfer Export Line 59,2021,Forte pour le type minibus; marque/modèle exact à confirmer,Photo de minibus/petit autobus; la cible reste dans la catégorie minibus.,
PROPOSITION_NON_APPLIQUEE,65359.jpg,65359,minibuses,minibuses,60128,Ford,Crafter Transfer,Crafter Transfer Edition 89,2023,Forte pour le type minibus; marque/modèle exact à confirmer,Photo de minibus/petit autobus; la cible reste dans la catégorie minibus.,
PROPOSITION_NON_APPLIQUEE,65360.jpg,65360,minibuses,minibuses,60230,Ford,Crafter Transfer,Crafter Transfer Export Line 89,2023,Forte pour le type minibus; marque/modèle exact à confirmer,Photo de minibus/petit autobus; la cible reste dans la catégorie minibus.,
PROPOSITION_NON_APPLIQUEE,65361.jpg,65361,minibuses,minibuses,60098,Ford,V-Class VIP,V-Class VIP Edition 59,2021,Forte pour le type minibus; marque/modèle exact à confirmer,Photo de minibus/petit autobus; la cible reste dans la catégorie minibus.,
PROPOSITION_NON_APPLIQUEE,65362.jpg,65362,minibuses,minibuses,60009,Mercedes-Benz,Crafter Transfer,Crafter Transfer Edition 9,2020,Forte pour le type minibus; marque/modèle exact à confirmer,Photo de minibus/petit autobus; la cible reste dans la catégorie minibus.,
PROPOSITION_NON_APPLIQUEE,65363.jpg,65363,minibuses,minibuses,60048,Mercedes-Benz,Crafter Transfer,Crafter Transfer Edition 9,2020,Forte pour le type minibus; marque/modèle exact à confirmer,Photo de minibus/petit autobus; la cible reste dans la catégorie minibus.,
PROPOSITION_NON_APPLIQUEE,65762.jpg,65762,trucks,trucks,60198,MAN,Actros 1845 LS,Actros 1845 LS Export Line 57,2019,Forte pour le type poids lourd; modèle exact à confirmer,Photo de camion ou poids lourd; la cible reste dans la catégorie trucks.,
PROPOSITION_NON_APPLIQUEE,65763.jpg,65763,trucks,trucks,60218,MAN,Arocs 3342,Arocs 3342 Export Line 77,2018,Forte pour le type poids lourd; modèle exact à confirmer,Photo de camion ou poids lourd; la cible reste dans la catégorie trucks.,
PROPOSITION_NON_APPLIQUEE,65764.jpg,65764,trucks,trucks,60158,MAN,Arocs 3342,Arocs 3342 Export Line 17,2021,Forte pour le type poids lourd; modèle exact à confirmer,Photo de camion ou poids lourd; la cible reste dans la catégorie trucks.,
PROPOSITION_NON_APPLIQUEE,65765.jpg,65765,trucks,trucks,30016,MAN,TGM 18.290,Curtainsider 4x2,2021,Forte pour le type poids lourd; modèle exact à confirmer,Photo de camion ou poids lourd; la cible reste dans la catégorie trucks.,
PROPOSITION_NON_APPLIQUEE,65766.jpg,65766,trucks,trucks,60116,MAN,TGX 18.510,TGX 18.510 Edition 77,2018,Forte pour le type poids lourd; modèle exact à confirmer,Photo de camion ou poids lourd; la cible reste dans la catégorie trucks.,
PROPOSITION_NON_APPLIQUEE,65767.jpg,65767,trucks,trucks,60096,MAN,TGX 18.510,TGX 18.510 Edition 57,2019,Forte pour le type poids lourd; modèle exact à confirmer,Photo de camion ou poids lourd; la cible reste dans la catégorie trucks.,
